n,rep,alpha,lambda,theta
50,172,3.743145025495313,3.9801879236696833,4.001342060421
50,173,2.4186776848462,2.851245381464173,2.692449768866765
50,174,2.591057205342102,3.0879854162304317,2.971410577149453
50,175,2.581916659724677,2.983504326598349,2.8730817396714303
50,176,1.4717403302530887,2.364012184888212,2.0720553102041457
50,177,1.947904187797512,2.7223372569112207,2.5114300709442414
50,178,1.9199315152799412,2.422641293449827,2.263049750562234
50,179,3.611013217421553,3.5925214724192807,3.5591295041214606
50,180,2.627722913718703,3.0754199790351793,2.946577293664491
50,181,3.585656565433522,3.5972568049217286,3.5945360629188476
50,182,2.226202369583645,2.7284841032289635,2.555748412802203
50,183,1.854254989924625,2.36446292565117,2.1461298640222006
50,184,2.7371744832248055,3.295996014123728,3.249140558815549
50,185,1.64497899501239,2.3450673729845883,2.009695292733088
50,186,1.9385320656428706,2.4788785261149666,2.317538601359692
50,187,2.484044216985894,2.954279092939881,2.7929740801340874
50,188,2.5482107651230366,2.972392501178857,2.8515041775843293
50,189,1.8744299324288365,2.3550702875954888,2.135286226783271
50,190,2.859797113181338,2.985465170379694,2.87404003205454
50,191,1.7659376338366872,2.7839516822039596,2.538009620733579
50,192,1.7887125995466384,2.3894757906147195,2.2211757664404272
50,193,2.294622535240557,3.1268645717362307,2.9034822619132075
50,194,2.922010682323709,3.6802825816973717,3.627363545419225
50,195,1.5841705338456158,2.7432663864374525,2.4498814868122167
50,196,2.7633417038751067,3.3891335242566427,3.2754168688136667
50,197,3.010176568794704,3.4219428561249132,3.291646913583629
50,198,1.553186097859909,2.745344223351688,2.4685441744113725
50,199,2.401966873950767,2.696292945535178,2.5665876121811544
100,0,2.3414641421549502,2.9202559865027284,2.749328443780083
100,1,2.2010281628156783,2.7131790823166515,2.491672564646531
100,2,2.0456885976179184,2.8949674889800256,2.7080148412896157
100,3,2.691283670581219,2.986514748480363,2.8825941308808507
100,4,3.1266587922668188,3.091898509113023,3.00470266945597
100,5,1.9664666234002883,2.581258564926284,2.3483023491926267
100,6,2.27860989024117,2.7784676802181494,2.624123071725615
100,7,2.6642098385772837,2.959363377887138,2.8770310947418714
100,8,2.345941553065506,2.9885773240126183,2.809456740113998
100,9,2.3759920836478203,3.085068839442483,2.9031294088725867
100,10,2.024640842136532,2.7602892140770767,2.5218127996899864
100,11,2.348461806671597,2.876813117256317,2.696495140698033
100,12,1.9233271912448915,2.7583514869743775,2.5362520153862436
100,13,2.053836753120378,3.0977071519957486,2.889777969533537
100,14,2.0909600289228427,2.6587133875565496,2.4861612854711566
100,15,2.093422321351073,2.612359401182544,2.451392041661144
100,16,2.4768403233453755,2.8379199709180902,2.697140837306216
